t,i
164.0,687
164.0,695
164.0,767
164.0,799
164.0,918
164.0,927
164.0,972
165.0,128
165.0,155
165.0,193
165.0,290
165.0,314
165.0,324
165.0,414
165.0,426
165.0,465
165.0,490
165.0,513
165.0,553
165.0,653
165.0,696
165.0,702
165.0,720
165.0,724
165.0,762
165.0,765
165.0,802
165.0,822
165.0,896
165.0,938
165.0,940
165.0,980
166.0,23
166.0,123
166.0,154
166.0,179
166.0,203
166.0,204
166.0,351
166.0,420
166.0,453
166.0,454
166.0,504
166.0,508
166.0,577
166.0,683
166.0,710
166.0,809
166.0,830
166.0,955
167.0,87
167.0,91
167.0,172
167.0,175
167.0,243
167.0,251
167.0,370
167.0,417
167.0,424
167.0,429
167.0,447
167.0,449
167.0,455
167.0,468
167.0,590
167.0,613
167.0,714
167.0,948
167.0,975
168.0,109
168.0,167
168.0,169
168.0,187
168.0,231
168.0,247
168.0,248
168.0,264
168.0,270
168.0,384
168.0,415
168.0,438
168.0,721
168.0,780
168.0,816
168.0,872
168.0,936
168.0,939
168.0,961
168.0,983
168.0,996
169.0,3
169.0,10
169.0,178
169.0,191
169.0,207
169.0,269
169.0,280
169.0,369
169.0,393
169.0,462
169.0,486
169.0,536
169.0,654
169.0,717
169.0,775
169.0,777
169.0,785
169.0,908
169.0,911
170.0,27
170.0,62
170.0,125
170.0,258
170.0,259
170.0,279
170.0,351
170.0,425
170.0,467
170.0,516
170.0,521
170.0,561
170.0,600
170.0,611
170.0,628
170.0,655
170.0,689
170.0,703
170.0,763
170.0,783
170.0,839
170.0,855
170.0,885
170.0,895
170.0,898
170.0,998
171.0,43
171.0,50
171.0,75
171.0,117
171.0,153
171.0,252
171.0,283
171.0,415
171.0,458
171.0,496
171.0,572
171.0,613
171.0,636
171.0,686
171.0,697
171.0,723
171.0,754
171.0,786
171.0,793
171.0,798
171.0,800
171.0,813
171.0,843
171.0,850
171.0,863
171.0,892
171.0,941
171.0,956
171.0,959
171.0,976
171.0,984
171.0,994
172.0,4
172.0,36
172.0,39
172.0,222
172.0,223
172.0,228
172.0,232
172.0,244
172.0,309
172.0,391
172.0,515
172.0,530
172.0,574
172.0,579
172.0,746
172.0,853
172.0,862
172.0,880
172.0,888
172.0,889
172.0,973
173.0,54
173.0,110
173.0,120
173.0,146
173.0,170
173.0,202
173.0,209
173.0,214
173.0,233
173.0,439
173.0,448
173.0,603
173.0,617
173.0,646
173.0,664
173.0,729
173.0,821
173.0,825
173.0,848
173.0,905
173.0,910
173.0,925
174.0,32
174.0,62
174.0,121
174.0,152
174.0,156
174.0,181
174.0,217
174.0,334
174.0,348
174.0,354
174.0,431
174.0,440
174.0,445
174.0,575
174.0,619
174.0,739
174.0,812
174.0,847
174.0,970
175.0,14
175.0,24
175.0,45
175.0,47
175.0,97
175.0,101
175.0,171
175.0,180
175.0,302
175.0,385
175.0,387
175.0,430
175.0,512
175.0,579
175.0,597
175.0,618
175.0,626
175.0,658
175.0,700
175.0,844
175.0,902
175.0,968
175.0,988
176.0,81
176.0,188
176.0,333
176.0,344
176.0,362
176.0,434
176.0,491
176.0,494
176.0,498
176.0,699
176.0,832
176.0,834
176.0,947
177.0,103
177.0,110
177.0,165
177.0,199
177.0,281
177.0,310
177.0,350
177.0,535
177.0,563
177.0,574
177.0,755
177.0,914
177.0,978
178.0,51
178.0,108
178.0,111
178.0,160
178.0,234
178.0,286
178.0,319
178.0,361
178.0,419
178.0,534
178.0,562
178.0,575
178.0,681
178.0,716
178.0,827
178.0,977
178.0,986
179.0,81
179.0,220
179.0,463
179.0,525
179.0,529
179.0,531
179.0,673
179.0,779
179.0,935
179.0,960
180.0,24
180.0,70
180.0,135
180.0,147
180.0,305
180.0,380
180.0,413
180.0,445
180.0,479
180.0,505
180.0,540
180.0,815
180.0,904
180.0,999
181.0,107
181.0,405
181.0,411
181.0,557
181.0,692
181.0,784
181.0,865
181.0,951
182.0,8
182.0,287
182.0,374
182.0,409
182.0,432
182.0,633
182.0,685
182.0,688
182.0,788
182.0,817
182.0,891
183.0,48
183.0,104
183.0,266
183.0,276
183.0,289
183.0,335
183.0,483
183.0,661
183.0,672
183.0,690
183.0,761
183.0,778
184.0,37
184.0,79
184.0,89
184.0,345
184.0,595
184.0,602
184.0,627
184.0,663
184.0,676
184.0,774
185.0,71
185.0,331
185.0,475
185.0,501
186.0,80
186.0,129
186.0,149
186.0,349
186.0,680
186.0,871
187.0,227
187.0,355
187.0,406
187.0,546
187.0,738
187.0,899
188.0,18
188.0,189
188.0,296
188.0,395
188.0,410
188.0,459
188.0,484
188.0,558
188.0,595
188.0,627
188.0,804
188.0,833
188.0,912
188.0,913
188.0,926
188.0,954
189.0,25
189.0,71
189.0,274
189.0,353
189.0,366
189.0,412
189.0,464
189.0,581
189.0,651
189.0,711
190.0,340
190.0,469
190.0,478
190.0,650
190.0,820
190.0,857
191.0,265
191.0,313
191.0,357
191.0,372
191.0,383
191.0,396
191.0,443
191.0,506
191.0,560
191.0,623
191.0,788
191.0,849
192.0,41
192.0,343
192.0,367
192.0,398
192.0,533
193.0,390
193.0,469
193.0,518
193.0,556
193.0,580
194.0,92
194.0,186
194.0,604
194.0,735
195.0,83
195.0,86
195.0,210
195.0,443
195.0,545
195.0,675
196.0,60
196.0,161
196.0,190
196.0,215
196.0,451
196.0,482
196.0,711
197.0,119
197.0,263
197.0,329
197.0,343
197.0,422
197.0,539
197.0,621
197.0,668
197.0,864
198.0,6
198.0,59
198.0,625
198.0,644
198.0,704
198.0,797
199.0,142
199.0,293
199.0,485
199.0,667
199.0,684
199.0,737
199.0,813
199.0,881
200.0,60
200.0,342
200.0,507
200.0,919
201.0,21
201.0,368
201.0,376
201.0,532
201.0,693
201.0,745
201.0,758
201.0,797
201.0,893
202.0,46
202.0,182
202.0,194
202.0,241
202.0,301
202.0,708
202.0,715
202.0,734
202.0,812
202.0,937
203.0,69
203.0,196
203.0,277
203.0,555
203.0,565
204.0,94
204.0,974
205.0,543
205.0,918
205.0,932
206.0,20
206.0,65
206.0,239
206.0,317
206.0,554
206.0,972
207.0,145
207.0,150
207.0,224
207.0,638
207.0,647
208.0,2
208.0,88
208.0,550
208.0,566
208.0,799
208.0,958
209.0,77
209.0,198
209.0,338
209.0,480
209.0,967
210.0,35
210.0,356
210.0,360
210.0,427
210.0,822
210.0,950
211.0,221
211.0,238
211.0,645
212.0,242
212.0,284
212.0,662
212.0,753
212.0,764
213.0,68
213.0,114
213.0,192
214.0,400
214.0,437
215.0,392
215.0,989
216.0,192
216.0,736
217.0,28
217.0,517
217.0,559
217.0,659
218.0,801
218.0,807
219.0,16
219.0,569
219.0,612
220.0,500
220.0,601
220.0,963
221.0,176
221.0,211
221.0,298
221.0,407
221.0,522
222.0,225
222.0,686
223.0,213
224.0,487
225.0,102
225.0,615
225.0,769
226.0,592
228.0,712
228.0,906
229.0,402
229.0,790
229.0,798
230.0,339
230.0,642
230.0,733
231.0,82
231.0,551
231.0,574
232.0,85
233.0,339
233.0,573
233.0,632
234.0,465
234.0,637
235.0,323
235.0,578
235.0,589
236.0,82
236.0,365
237.0,255
237.0,339
237.0,347
237.0,776
238.0,1
238.0,13
238.0,449
238.0,552
239.0,82
239.0,185
239.0,564
239.0,635
239.0,718
240.0,240
240.0,365
240.0,789
240.0,988
241.0,252
241.0,503
241.0,756
241.0,978
242.0,12
242.0,64
242.0,257
242.0,452
242.0,773
243.0,44
243.0,76
243.0,674
243.0,959
244.0,9
244.0,115
244.0,262
244.0,486
244.0,878
245.0,26
245.0,365
245.0,519
245.0,719
246.0,36
246.0,421
246.0,640
247.0,177
247.0,389
248.0,93
248.0,174
248.0,467
248.0,587
248.0,836
248.0,892
248.0,973
249.0,218
249.0,291
249.0,547
249.0,672
249.0,837
249.0,918
249.0,980
250.0,98
250.0,456
250.0,464
250.0,910
251.0,448
251.0,938
252.0,398
252.0,606
252.0,616
252.0,800
253.0,33
253.0,310
253.0,471
253.0,678
253.0,958
254.0,19
254.0,300
254.0,346
254.0,796
255.0,95
255.0,139
255.0,448
255.0,935
256.0,429
256.0,528
256.0,648
256.0,732
256.0,749
257.0,382
258.0,453
258.0,716
258.0,829
259.0,75
259.0,308
259.0,582
259.0,761
260.0,334
260.0,649
260.0,812
260.0,940
261.0,29
261.0,634
261.0,655
261.0,665
261.0,705
262.0,630
262.0,691
263.0,388
263.0,495
263.0,549
263.0,610
263.0,752
263.0,847
264.0,18
264.0,66
264.0,290
264.0,385
264.0,492
264.0,730
264.0,855
265.0,99
265.0,100
265.0,112
265.0,243
265.0,802
265.0,949
266.0,230
266.0,273
266.0,285
266.0,435
266.0,476
266.0,722
266.0,786
266.0,842
267.0,0
267.0,32
267.0,145
267.0,166
267.0,319
267.0,652
268.0,65
268.0,141
268.0,156
268.0,160
268.0,303
268.0,577
268.0,861
269.0,15
269.0,132
269.0,148
269.0,170
269.0,206
269.0,209
269.0,374
269.0,377
269.0,494
270.0,30
270.0,331
270.0,447
270.0,472
270.0,767
271.0,22
271.0,210
271.0,370
271.0,436
271.0,728
271.0,762
271.0,787
271.0,926
272.0,0
272.0,116
272.0,141
272.0,227
272.0,263
272.0,516
272.0,570
272.0,670
272.0,807
273.0,39
273.0,172
273.0,198
273.0,386
273.0,418
273.0,512
273.0,553
273.0,561
273.0,584
273.0,768
273.0,791
273.0,794
273.0,809
273.0,850
273.0,936
274.0,138
274.0,152
274.0,171
274.0,481
274.0,504
274.0,534
274.0,591
274.0,710
274.0,843
274.0,856
274.0,871
275.0,90
275.0,140
275.0,248
275.0,268
275.0,310
275.0,567
275.0,673
275.0,683
275.0,746
275.0,783
275.0,902
276.0,48
276.0,69
276.0,81
276.0,134
276.0,163
276.0,260
276.0,341
276.0,426
276.0,434
276.0,470
276.0,550
276.0,622
276.0,641
276.0,784
276.0,888
277.0,144
277.0,216
277.0,265
